title,creator,date,description,subject,source,Identifier,type,format,rights,filename,objectid,PARENT,publisher,Coverage,contributor,Relation
Salt Cairn,,1930s,This salt cairn was build by the Lewis and Clark party in 1805 and was used for boiling water to produce salt.  A tree is growing behind the cairn and the entire site is surrounded by a cement wall.  Above the wall is an iron fence to protect the site. This salt cairn was build by the Lewis and Clark party in 1805 and was used for boiling water to produce salt.  A tree is growing behind the cairn and the entire site is surrounded by a cement wall.  Above the wall is an iron fence to protect the site. 2 prints This salt cairn was build by the Lewis and Clark party in 1805 and was used for boiling water to produce salt.  A tree is growing behind the cairn and the entire site is surrounded by a cement wall.  Above the wall is an iron fence to protect the site. 2 prints 1 mounted print,"Print, Photographic;Cairns;Salt Cairns, Seaside, Or.;Clatsop County, Or.;Lewis and Clark Expedition",ASSET: 22958,2006.001.0237,StillImage,image/jpeg,Courtesy of State Library of Oregon,20060010237.jpg,slo20060010237E10,20562,State Library of Oregon,0 - 1939,,
Dr. Verden E. Hockett,,ca. 1930s,"Portrait of Dr. Verden E. Hockett, Salem physician.","Print, Photographic;Physicians, Salem, Or.;Men's portraits, Salem, Or.;Hockett, Dr. Verden E., 1898-1975",ASSET: 40624,2007.001.0843,StillImage,image/jpeg,Courtesy of State Library of Oregon,20070010843.jpg,slo20070010843E10,20563,State Library of Oregon,.Unknown,Unknown,
"Historic views of Portland's commercial Buildings, early 20th century",Unknown,,"Historic views of Portland's downtown commercial buildings. Images include: Chamber of Commerce, Board of Trade, and Commercial Club Building, and Oregonian Building as well as two unidentified buildings. Other buildings include the Yeon Building, the Spalding Building, the Electric Building and the Wells Fargo Building as well as what appears to be the Corbett Building, Spoiler Building and the Setting Building.","Print, Photographic;Historic buildings, Portland, Or.;Commercial buildings, Portland, Or.;Oregonian Building, Portland, Or.;Wells Fargo Building, Portland, Or.;Commercial Club Building, Portland, Or.;Board of Trade Building, Portland, Or.;Chamber of Commerce Building, Portland, Or.;Electric Building, Portland, Or,;Spalding Building, Portland, Or.;Yeon Building, Portland, Or.;Corbell Building, Portland, Or.;Spoiler Building, Portland, Or.;Setting Building, Portland, Or.;Unknown",ASSET: 21884,2004.001.0485,StillImage,image/jpeg,Courtesy of State Library of Oregon,20040010485_2.jpg,slo20040010485_2,21875,State Library of Oregon,"Portland, Oregon",,
Old Oregon state capitol before dome,,,"Old Oregon state capitol before dome, taken from the northwest of the main entrance. Photo taken about 1888, after the porticos were added, and before 1893 when the dome was erected. See also series of photos of 1876 Capitol in Views 2-52 -- 2-56.","Print, Photographic;Capitols;Oregon state capitol;1876 Capitol Building, Salem, Or.",ASSET: 22077,2004.001.0609,StillImage,image/jpeg,Courtesy of State Library of Oregon,20040010609.jpg,slo20040010609E10,20562,State Library of Oregon,"Salem, Or.",Trover Studio,
"Fred W. German, 1925",Kraft,1925-01-01T00:00:00Z,"Portrait of Fred W. German, 1925 legislature, member of the House representing Multnomah County.","Print, Photographic;Portraits, 1925 Oregon Legislature;Portraits, 1925 Oregon House;German, Fred W.;Kraft",ASSET: 40471,2007.001.0782,StillImage,image/jpeg,Courtesy of State Library of Oregon,20070010782.jpg,slo20070010782E10,20563,State Library of Oregon,,Kraft,
Twenty-seven Oregon City views,Huntley Bros. Co.,ca. 1890s,"View down on downtown area from the escarpment. Suspension Bridge, Willamette River, cupula of the Courthouse, downtown rooftops visible.","Print, Photographic;Bird's-eye views, Oregon City;Bridges, Oregon City, Or.;Business district, Oregon City, Or.;Cities and towns, Clackamas County, Or.;Historic buildings, Oregon City",ASSET: 21741,2004.001.0452,StillImage,image/jpeg,Courtesy of State Library of Oregon,20040010452_2.jpg,slo20040010452_2,21724,State Library of Oregon,"Oregon City, Oregon",,
Washington school children Salem,,1890-1915,"Washington school children and teaching staff, Salem, several different classes included in the image display","Print, Photographic;School buildings;School children;Elementary schools, Salem, Or.;Washington Elementary School, Salem, Or.;Grade-schools, Salem, Or.;Grade-school students;Elementary school students;School photographs;Class photographs",ASSET: 22111,2004.001.0621,StillImage,image/jpeg,Courtesy of State Library of Oregon,20040010621_9.jpg,slo20040010621_9,22109,State Library of Oregon,"1890 - 1915; Salem, Or.",Trover Studio,
"Salem, Oregon waterfront scenes",,,"4 scenes of Salem's downtown waterfront, time period unknown. One shows the bridge over the Willamette, another a large storage tank on the bank of the river. All the prints are made from damaged negatives and are slightly blurred and some are partly obscured by the damage on the negatives.","Print, Photographic;Waterfront, Salem, Or.;Willamette River at Salem",ASSET: 23028,2006.001.0311,StillImage,image/jpeg,Courtesy of State Library of Oregon,20060010311_2.jpg,slo20060010311_2,23024,State Library of Oregon,"Salem, Or.",,
"North Sixth Street, Grants Pass, Oregon",Unknown,1920?,"View of Sixth Steet, downtown area of Grants Pass. Old automobiles and pedestrians visible. Signs on buildings: ""Western Union"", ""Woods Hotel"", ""Truax"".","Print, Photographic;Cities and Towns, Josephine County, Or.;Street scenes, Grants Pass, Or.;Business district, Grants Pass, Or.;Historic Buildings, Grants Pass, Or.",ASSET: 21530,2004.001.0391,StillImage,image/jpeg,Courtesy of State Library of Oregon,20040010391_4.jpg,slo20040010391_4,21528,State Library of Oregon,"Grants Pass, Oregon",,
"Sitka and Indian Village, Alaska",Winter and Pond,1896-01-01T00:00:00Z,"Waterfront view of Sitka and Indian village, Alaska with mountains in the background, 1896. Two ships are in the harbor.","Print, Photographic;Sitka, Alaska;Indian village, Sitka, Ak.;Ships, Alaska;Winter and Pond",ASSET: 42743,2008.001.0586,StillImage,image/jpeg,Courtesy of State Library of Oregon,20080010586.jpg,slo20080010586E10,20563,State Library of Oregon,"Juneau, Ak.",Winter and Pond,
Mr. and Mrs. Dare Sloper,,1920?,Portrait of Emma B. and Val Dare Sloper of Stayton. Mr. Sloper was a druggist and father of Marion County Circuit Court Judge Val D. Sloper,"Print, Photographic;Couples portraits, Stayton, Or.;Women's portraits, Stayton, Or.;Men's portraits, Stayton, Or.;Druggists, Stayton, Or.;Sloper, V. Dare, 1893-1928;Sloper, Emma B., 1894-",ASSET: 41111,2007.001.1131,StillImage,image/jpeg,Courtesy of State Library of Oregon,20070011131.jpg,slo20070011131E10,20563,State Library of Oregon,"Salem, Or.",Trover-Weigel,
Rebecca Deardorff Sears,,ca. 1850s?,"Rebecca Deardorff Sears, wife of Christopher Sears, daughter of John and Catherine Deardorff.","Print, Photographic;Women's portraits, Marion County, Or.?;Pioneers, Marion County, Or.;Sears family, Oregon?;Sears, Rebecca Deardorff, 1815-1884;Deardorff, Rebecca, 1815-1884;Sears, Mrs. Christopher, 1815-1884",ASSET: 43720,2008.001.1108,StillImage,image/jpeg,Courtesy of State Library of Oregon,20080011108.jpg,slo20080011108E10,20563,State Library of Oregon,Unknown,Unknown,
"Men on train, Oregon First Special 1915",Unknown,1915-01-01T00:00:00Z,The man on the left is Gov. Oswald West.,"Print, Photographic;Men's portraits, Salem, Or.;Oregon First Special 1915 (train);West, Oswald, 1873-1960;Unknown",ASSET: 42379,2008.001.0326,StillImage,image/jpeg,Courtesy of State Library of Oregon,20080010326_4.jpg,slo20080010326_4,42375,State Library of Oregon,Unknown.,,
"Main Steet, looking North, Oregon City, Oregon",Huntley Bros. Co.,ca. 1890s,"View of downtown street and buildings. Trolley and tracks visible. Stores visible: ""Bicycle and Gun Store"", ""Frank T. Barlow, the Grocer"". Electric wires and poles can be seen.","Print, Photographic;Business district, Oregon City;Cities and towns, Clackamas County, Or.;Historic buildings, Oregon City, Or.;Street railroads, Oregon City;Street scenes, Oregon City",ASSET: 21728,2004.001.0452,StillImage,image/jpeg,Courtesy of State Library of Oregon,20040010452_6.jpg,slo20040010452_6,21724,State Library of Oregon,"Oregon City, Oregon",,
Several scenes of skiers and winter visitors to Mt. Hood and Timberline Lodge,William Hamilton,ca. 1939,"#856 - Mt. Hood is glimpsed between the foundation wall of Timberline Lodge and a cut-away snowdrift #858-860, 862 -- Skiers on slopes of Mt. Hood above Timberline Lodge #856 - Mt. Hood is glimpsed between the foundation wall of Timberline Lodge and a cut-away snowdrift #858-860, 862 -- Skiers on slopes of Mt. Hood above Timberline Lodge","Print, Photographic;Skiing, Mt. Hood;Skiers, Mt. Hood;Timberline Lodge, Mt. Hood;Winter recreation, Mt. Hood;William Hamilton",ASSET: 23250,2006.001.0337,StillImage,image/jpeg,Courtesy of State Library of Oregon,20060010337_3.jpg,slo20060010337_3,23246,State Library of Oregon,,,
"Anna Krebs Gillis, early 20th century",Trover,,"Anna Krebs Gillis, wife of Salem physician Angus Bernard Gillis.","Print, Photographic;Portrait photographs;Clothing & dress;Women's portraits, Salem, Or.;Women's clothing & fashions, early 20th century;Women's hats, early 20th century;Women's hairstyles, early 20th century;Gillis, Anna Krebs;Gillis, Mrs. Angus B.;Trover",ASSET: 38642,2007.001.0284,StillImage,image/jpeg,Courtesy of State Library of Oregon,20070010284.jpg,slo20070010284E10,38641,State Library of Oregon,"1900 - 1910; Salem, Or.",Trover Studio,
"Steamer ""T.J. Potter"" at Astoria",Arthur Riggs,1888-1900,"This is a photograph of the ""T.J. Potter"", a side-wheeler built at Portland in 1888, and rebuilt in 1901 for use until 1921. It shows the intricately carved paddle wheel housing, which was not used when it was rebuilt. It was modeled after the Hudson River steamers and was used on the Columbia River where it was noted for its speed and luxury.","Print, Photographic;Steamboats;Paddle steamers;Steamer ""T.J. Potter"";Side-wheelers, Columbia River;Riverboats, Columbia River;Steamboats, Columbia River;Arthur Riggs",ASSET: 22997,2006.001.0263,StillImage,image/jpeg,Courtesy of State Library of Oregon,20060010263.jpg,slo20060010263E10,20562,State Library of Oregon,1888 - 1900,,
"Mrs. F. R. Hamman, Baby Girl",,,"Portrait of Mrs. F. R. Hamman, baby girl.","Print, Photographic;Children's portraits, Salem, Or.;Hamman,",ASSET: 40580,2007.001.0814,StillImage,image/jpeg,Courtesy of State Library of Oregon,20070010814.jpg,slo20070010814E10,20563,State Library of Oregon,,,
"Salem, Oregon, 24 historic views",Various,,"Wide variety of historical views of Salem, Oregon ranging from the State Capital, views of street scenes, and inside buildings such as mills and schools. Some of the views may duplicate others in the State Library's collection.","Print, Photographic;Aerial photographs, Salem, Or.;Bridges, Salem, Or.;Capital City Transfer;Capitol Monumental Works, Salem, Or.;Catholic churches, Salem, Or.;Charles R. Orchard Implement Co.;Church schools, Salem, Or.;Churches, Salem, Or.;Cities & towns, Marion County;Courthouses, Salem, Or.;First Christian Church, Salem, Or.;Historic buildings, Salem, Or.;Hospitals, Salem, Or.;Hotels, Salem, Or.;Jails, Salem, Or.;Linen Mills, Salem, Or.;Marion County Courthouse, Salem, Or.;Mental hospitals, Salem, Or.;Oregon State Insane Asylum;Oregon State Penitentiary;Park Building, Salem;Post office, Salem, Or.;Reform schools, Salem, Or.;Salem city hospital, Salem, Or.;Salvation Army, Salem, Or.;Sacred Heart Academy, Salem, Or.;School buildings, Salem, Or.;Senator Hotel lobby;St Joseph Catholic Church, Salem, Or.;Tombstone manufacturers, Salem, Or.;W.H. Burghardt Co;Waite Fountain, Salem, Or.;Willamette University buildings;Willson Park, Salem, Or.;Various?",ASSET: 21812,2004.001.0461,StillImage,image/jpeg,Courtesy of State Library of Oregon,20040010461_11.jpg,slo20040010461_11,21789,State Library of Oregon,"Salem, Oregon",,
Julius Uhn Jr.,,1900-1930,Elks Club portrait of Julius Uhn Jr.,"Print, Photographic;Fraternal organizations;Fraternal lodges;Elks Club portraits, Salem, Or.;B.P.O.E. portraits, Salem, Or.;Fraternal orgranizations, Salem, Or.;Fraternal Lodges, Salem, Or.;Men's clubs, Salem, Or.;Julius Uhn;Uhn, Julius",ASSET: 23651,2006.001.0529,StillImage,image/jpeg,Courtesy of State Library of Oregon,20060010529.jpg,slo20060010529E10,20562,State Library of Oregon,1900 - 1930,Trover Studio,
Hay barn with 2 cows,Myra Albert Wiggins,,Two cows are standing by the side of a barn with the hay visible inside. There are 2 children and a woman visible in the distance.,"Print, Photographic;Barns;Photographs, Myra Albert Wiggins;Myra Albert Wiggins",ASSET: 42896,2007.001.0526,StillImage,image/jpeg,Courtesy of State Library of Oregon,20070010526.jpg,slo20070010526E10,20563,State Library of Oregon,Unknown,,
"Several scenes of the Kyotaro Chikuo home and hop field in 1936 near Independence, Oregon",,1936-01-01T00:00:00Z,"The K. Chikuo hop ranch was located near Independence in Polk County.  In the Marion-Polk County phone books between 1931 and 1942 K. Chikuo is listed, but not in the 1943 phone book, which suggests they were probably sent to an internment camp. #1 - Kyotaro Chikuo and wife, Tatsuyo on the front steps of their home in Independence, Or., ca. 1936 The K. Chikuo hop ranch was located near Independence in Polk County.  In the Marion-Polk County phone books between 1931 and 1942 K. Chikuo is listed, but not in the 1943 phone book, which suggests they were probably sent to an internment camp. #1 - Kyotaro Chikuo and wife, Tatsuyo on the front steps of their home in Independence, Or., ca. 1936 #2 - The Chikuos standing on the steps, full view of their house in Independence, Or., ca. 1936 The K. Chikuo hop ranch was located near Independence in Polk County.  In the Marion-Polk County phone books between 1931 and 1942 K. Chikuo is listed, but not in the 1943 phone book, which suggests they were probably sent to an internment camp. #1 - Kyotaro Chikuo and wife, Tatsuyo on the front steps of their home in Independence, Or., ca. 1936 #2 - The Chikuos standing on the steps, full view of their house in Independence, Or., ca. 1936 #3 - Chikuo hop yard's hop kiln with truck being loaded (or unloaded?), 1936 The K. Chikuo hop ranch was located near Independence in Polk County.  In the Marion-Polk County phone books between 1931 and 1942 K. Chikuo is listed, but not in the 1943 phone book, which suggests they were probably sent to an internment camp. #1 - Kyotaro Chikuo and wife, Tatsuyo on the front steps of their home in Independence, Or., ca. 1936 #2 - The Chikuos standing on the steps, full view of their house in Independence, Or., ca. 1936 #3 - Chikuo hop yard's hop kiln with truck being loaded (or unloaded?), 1936 #4 - Chikuo's weighing crew, Sec. 1, 1936 The K. Chikuo hop ranch was located near Independence in Polk County.  In the Marion-Polk County phone books between 1931 and 1942 K. Chikuo is listed, but not in the 1943 phone book, which suggests they were probably sent to an internment camp. #1 - Kyotaro Chikuo and wife, Tatsuyo on the front steps of their home in Independence, Or., ca. 1936 #2 - The Chikuos standing on the steps, full view of their house in Independence, Or., ca. 1936 #3 - Chikuo hop yard's hop kiln with truck being loaded (or unloaded?), 1936 #4 - Chikuo's weighing crew, Sec. 1, 1936 #5 - Chikuo hop yard's campground store with patrons The K. Chikuo hop ranch was located near Independence in Polk County.  In the Marion-Polk County phone books between 1931 and 1942 K. Chikuo is listed, but not in the 1943 phone book, which suggests they were probably sent to an internment camp. #1 - Kyotaro Chikuo and wife, Tatsuyo on the front steps of their home in Independence, Or., ca. 1936 #2 - The Chikuos standing on the steps, full view of their house in Independence, Or., ca. 1936 #3 - Chikuo hop yard's hop kiln with truck being loaded (or unloaded?), 1936 #4 - Chikuo's weighing crew, Sec. 1, 1936 #5 - Chikuo hop yard's campground store with patrons #6-8 - 3 scenes of Chikuo hop yard's campground The K. Chikuo hop ranch was located near Independence in Polk County.  In the Marion-Polk County phone books between 1931 and 1942 K. Chikuo is listed, but not in the 1943 phone book, which suggests they were probably sent to an internment camp. #1 - Kyotaro Chikuo and wife, Tatsuyo on the front steps of their home in Independence, Or., ca. 1936 #2 - The Chikuos standing on the steps, full view of their house in Independence, Or., ca. 1936 #3 - Chikuo hop yard's hop kiln with truck being loaded (or unloaded?), 1936 #4 - Chikuo's weighing crew, Sec. 1, 1936 #5 - Chikuo hop yard's campground store with patrons #6-8 - 3 scenes of Chikuo hop yard's campground The K. Chikuo hop ranch was located near Independence in Polk County.  In the Marion-Polk County phone books between 1931 and 1942 K. Chikuo is listed, but not in the 1943 phone book, which suggests they were probably sent to an internment camp. #1 - Kyotaro Chikuo and wife, Tatsuyo on the front steps of their home in Independence, Or., ca. 1936 #2 - The Chikuos standing on the steps, full view of their house in Independence, Or., ca. 1936 #3 - Chikuo hop yard's hop kiln with truck being loaded (or unloaded?), 1936 #4 - Chikuo's weighing crew, Sec. 1, 1936 #5 - Chikuo hop yard's campground store with patrons #6-8 - 3 scenes of Chikuo hop yard's campground","Print, Photographic;K. Chikuo hop yard, Independence, Or.;Hop fields, Polk County, Or.;Hop ranches, Polk County, Or.;Hop workers, Polk County, or.;Farm workers, Polk County, Or.;Agricultural laborers, Polk County, Or.;Japanese-American hop growers, Independence, Or.;Farmhouses, Independence, Or.;Chikuo, Kyotaro;Chikuo, Tatsuyo",ASSET: 23345,2006.001.0345,StillImage,image/jpeg,Courtesy of State Library of Oregon,20060010345_3.jpg,slo20060010345_3,23338,State Library of Oregon,"Salem, Or.",Trover Studio,
Culp Bride and Groom,Unknown,,Ed Culp? and his bride? Location unknown.,"Print, Photographic;Wedding portraits, Oregon?;Culp, Ed;Unknown",ASSET: 40291,2007.001.0688,StillImage,image/jpeg,Courtesy of State Library of Oregon,20070010688.jpg,slo20070010688E10,20563,State Library of Oregon,Unknown,,
Miller Hayden,Trover,,"Three portraits of Salem lawyer, Miller Hayden in uniform. Also in Oversize Portraits, Box 2.","Print, Photographic;Men's portraits, Salem, Or.;Military uniforms;Hayden, Miller B., 1895-1951;Trover",ASSET: 40597,2007.001.0826,StillImage,image/jpeg,Courtesy of State Library of Oregon,20070010826_2.jpg,slo20070010826_2,40592,State Library of Oregon,"Salem, Or.",Trover,
Early power generation on the McKenzie river,Unknown,,"McKenzie rapids looking west, covered bridge and railroad bridge to far right.","Print, Photographic;McKenzie River rapids;Water power generation, Eugene, Or.;Unknown",ASSET: 21990,2004.001.0554,StillImage,image/jpeg,Courtesy of State Library of Oregon,20040010554.jpg,slo20040010554E10,20562,State Library of Oregon,,,
